mask,condition,AUC_mean,AUC_std,F1_mean,F1_std,KS_mean,KS_std
A,C0_base,0.7655,0.0123,0.6776,0.0258,0.4398,0.0311
A,C1_sem,0.7646,0.021,0.6857,0.0513,0.4365,0.0379
A,C2_dir,0.7499,0.0098,0.6855,0.0373,0.4067,0.0219
A,C3_both,0.7729,0.0129,0.715,0.0376,0.4484,0.0196
B,C0_base,0.7767,0.0131,0.6872,0.0493,0.4492,0.0325
B,C1_sem,0.7728,0.0193,0.6939,0.0479,0.4541,0.0365
B,C2_dir,0.7629,0.0113,0.6869,0.0245,0.4237,0.0201
B,C3_both,0.782,0.0095,0.7192,0.0411,0.4566,0.0264
