ratio_id,miss_y1,miss_y2,miss_y3,miss_max
1,0.006069212364074932,0.00676950609839127,0.006730600890929251,0.00676950609839127
2,0.007294726399128523,0.007586515455093664,0.006886221720777326,0.007586515455093664
3,0.06222887933549906,0.08086447370980605,0.10545256482580194,0.10545256482580194
4,0.043748905791040134,0.02410177602272064,0.01709883867955726,0.043748905791040134
5,0.042017624058980296,0.022467757309315852,0.015425914758690451,0.042017624058980296
6,0.04289299122687572,0.02312914583617017,0.015931682455696695,0.04289299122687572
7,0.05789094870348396,0.0356177174314782,0.025677436924932403,0.05789094870348396
8,0.11163849281226292,0.08512459392689711,0.07185791818234871,0.11163849281226292
9,0.06650845215632112,0.04065594179780964,0.029509599859941255,0.06650845215632112
10,0.2534479740113214,0.25144435582702745,0.258855797848542,0.258855797848542
11,0.02995700974575447,0.01776022720641158,0.013247223140817398,0.02995700974575447
12,0.030812924309918884,0.018265994903417824,0.013169412725893361,0.030812924309918884
13,0.007294726399128523,0.007586515455093664,0.006886221720777326,0.007586515455093664
14,0.006069212364074932,0.00676950609839127,0.006730600890929251,0.00676950609839127
15,0.006672243079736222,0.007567062851362655,0.007683778473748711,0.007683778473748711
16,0.03797148248293034,0.020522496936214912,0.014589452798257047,0.03797148248293034
17,0.2535063318225144,0.2252416986013578,0.20781216565837338,0.2535063318225144
18,0.536366642675122,0.5853872040772657,0.6489583130702045,0.6489583130702045
19,0.010056996128931857,0.00801447273717587,0.007683778473748711,0.010056996128931857
20,0.05682105549827844,0.03503413931954792,0.02579415254731846,0.05682105549827844
21,0.027214192619682144,0.020483591728752894,0.01548427256988348,0.027214192619682144
