industry,n,mean_risk,alert_rate,bankruptcy_rate,risk_per_bankruptcy,over_under_flagging
agriculture,5722,0.2526,0.9322,0.0049,51.55102040816327,0.887
construction,6635,0.2329,0.8051,0.0134,17.38059701492537,0.299
manufacture,19486,0.2004,0.7915,0.0051,39.29411764705882,0.676
retail,19564,0.2111,0.769,0.0017,124.1764705882353,2.137
