# Paper A (CIS) — main table. Data: Drotar et al. (2019), DiB 25:104360 (CC BY 4.0). Ratios: Zoricak et al. (2020), Econ. Modelling 84:165-176.
# Instability across 5 repeats, temp=0.7, 100 firms. Bootstrap 95% CI.
Model,Verdict flip,Driver Jaccard,Top-1 stable
gpt-4o-mini,"0.049 [0.01, 0.10]","0.828 [0.78, 0.87]","0.618 [0.52, 0.72]"
gpt-5.4-mini,"0.049 [0.01, 0.10]","0.732 [0.70, 0.77]","0.627 [0.54, 0.72]"
gpt-5.4,"0.020 [0.00, 0.05]","0.913 [0.89, 0.94]","0.794 [0.72, 0.87]"
Rule anchor (ours),"0.000 [0.00, 0.00]","1.000 [1.00, 1.00]","1.000 [1.00, 1.00]"
