ratio_id,slope_nonbankrupt,slope_bankrupt,std_mean_diff,n_bankrupt
1,0.05999999999999989,-7.232499999999996,-0.19067683738799535,250
20,0.0,0.20999999999999908,-0.12254216943109118,229
11,0.0,0.1899999999999999,0.09757333158264726,250
7,1.7149999999999752,6.34,-0.09175334099786932,229
3,0.03500000000000004,-8.609999999999994,0.08400466142071637,223
14,0.39999999999999564,-6.782499999999998,-0.06545266951490192,250
12,9.930136612989094e-17,0.030000000000000047,-0.060449858383880395,250
21,0.0,0.0,0.059254686992175884,239
19,0.0,0.0,-0.04851516418606898,250
15,-0.6900000000000003,13.702499999999986,0.043878495056962695,250
9,-1.214999999999998,56.430000000000014,-0.04189618358975032,229
18,-294.7750000000009,-1535.19,-0.03583630536850116,118
8,-0.19000000000000045,0.23499999999999321,-0.03525373545938662,225
4,0.00499999999999995,-0.004999999999999999,0.029976257395735006,247
17,0.049999999999999954,-0.5699999999999998,-0.027310423188255956,229
6,0.0199999999999999,-0.12000000000000005,0.02240241734336825,249
5,0.010000000000000049,-0.07999999999999999,0.02211411826099711,250
10,0.0,-0.44999999999999996,-0.008379909248104233,205
16,0.6400000000000001,-6.165000000000001,-0.007697331306085781,250
13,-0.014999999999998882,0.029999999999999874,-0.0011667679909642423,250
2,-0.30000000000000004,-0.03499999999999999,0.0011349902691096892,250
